Timestamp,Epoch_Time_ms,MAG,D,P1,P2,P3
2026-06-19 17:00:40.843,1781906440843,2501.1270,5.9,0,1,0
2026-06-19 17:00:40.883,1781906440883,2501.1270,6.0,0,1,0
2026-06-19 17:00:40.923,1781906440923,2501.1270,6.0,0,0,0
2026-06-19 17:00:40.963,1781906440963,2501.1270,6.0,0,1,0
2026-06-19 17:00:41.003,1781906441003,2501.1270,6.0,0,1,0
2026-06-19 17:00:41.043,1781906441043,2501.1270,6.0,0,1,0
2026-06-19 17:00:41.083,1781906441083,3541.4507,5.9,0,1,0
2026-06-19 17:00:41.123,1781906441123,3541.4507,5.9,0,1,0
2026-06-19 17:00:41.163,1781906441163,3541.4507,5.8,0,1,0
2026-06-19 17:00:41.203,1781906441203,3541.4507,5.9,0,1,0
2026-06-19 17:00:41.243,1781906441243,3541.4507,5.8,0,1,0
2026-06-19 17:00:41.283,1781906441283,3541.4507,6.1,0,1,0
2026-06-19 17:00:41.323,1781906441323,3541.4507,6.4,0,1,0
2026-06-19 17:00:41.363,1781906441363,3792.7219,6.4,0,1,0
2026-06-19 17:00:41.403,1781906441403,3792.7219,6.9,0,1,0
2026-06-19 17:00:41.443,1781906441443,3792.7219,6.9,0,1,0
2026-06-19 17:00:41.483,1781906441483,3792.7219,7.0,0,1,0
2026-06-19 17:00:41.523,1781906441523,3792.7219,6.9,0,1,0
2026-06-19 17:00:41.563,1781906441563,3792.7219,7.4,0,1,0
2026-06-19 17:00:41.603,1781906441603,3580.2529,7.8,0,1,0
2026-06-19 17:00:41.643,1781906441643,3580.2529,7.8,0,1,0
2026-06-19 17:00:41.683,1781906441683,3580.2529,7.6,0,1,0
2026-06-19 17:00:41.723,1781906441723,3580.2529,7.9,0,1,0
2026-06-19 17:00:41.763,1781906441763,3580.2529,7.4,0,1,0
2026-06-19 17:00:41.803,1781906441803,3580.2529,6.3,0,1,0
2026-06-19 17:00:41.843,1781906441843,3580.2529,6.3,0,1,0
2026-06-19 17:00:41.883,1781906441883,3579.7048,6.3,0,1,0
2026-06-19 17:00:41.923,1781906441923,3579.7048,6.3,0,1,0
2026-06-19 17:00:41.963,1781906441963,3579.7048,6.3,0,1,0
2026-06-19 17:00:42.003,1781906442003,3579.7048,6.4,0,1,0
2026-06-19 17:00:42.043,1781906442043,3579.7048,6.3,0,1,0
2026-06-19 17:00:42.083,1781906442083,3579.7048,6.3,0,1,0
2026-06-19 17:00:42.123,1781906442123,4376.1553,6.3,0,1,0
2026-06-19 17:00:42.163,1781906442163,4376.1553,6.4,0,1,0
